date,close,open
1-Jan-00,10940.53 ,11501.85 
1-Feb-00,10128.31 ,10937.74 
1-Mar-00,10921.92 ,10128.11 
1-Apr-00,10733.91 ,10863.28 
1-May-00,10522.33 ,10749.42 
1-Jun-00,10447.89 ,10532.27 
1-Jul-00,10521.98 ,10450.36 
1-Aug-00,11215.10 ,10523.81 
1-Sep-00,10650.92 ,11219.54 
1-Oct-00,10971.14 ,10659.06 
1-Nov-00,10414.49 ,10966.21 
1-Dec-00,10787.99 ,10416.76 
1-Jan-01,10887.36 ,10790.92 
1-Feb-01,10495.28 ,10884.82 
1-Mar-01,9878.78 ,10493.25 
1-Apr-01,10734.97 ,9877.16 
1-May-01,10911.94 ,10734.05 
1-Jun-01,10502.40 ,10913.57 
1-Jul-01,10522.81 ,10504.95 
1-Aug-01,9949.75 ,10527.38 
1-Sep-01,8847.56 ,9946.98 
1-Oct-01,9075.14 ,8845.97 
1-Nov-01,9851.56 ,9087.45 
1-Dec-01,10021.57 ,9848.93 
1-Jan-02,9920.00 ,10021.71 
1-Feb-02,10106.13 ,9923.04 
1-Mar-02,10403.94 ,10111.04 
1-Apr-02,9946.22 ,10402.07 
1-May-02,9925.25 ,9944.90 
1-Jun-02,9243.26 ,9923.94 
1-Jul-02,8736.59 ,9239.25 
1-Aug-02,8663.50 ,8732.58 
1-Sep-02,7591.93 ,8659.27 
1-Oct-02,8397.03 ,7593.04 
1-Nov-02,8896.09 ,8395.64 
1-Dec-02,8341.63 ,8902.95 
1-Jan-03,8053.81 ,8342.38 
1-Feb-03,7891.08 ,8053.74 
1-Mar-03,7992.13 ,7890.24 
1-Apr-03,8480.09 ,7992.83 
1-May-03,8850.26 ,8478.48 
1-Jun-03,8985.44 ,8851.45 
1-Jul-03,9233.80 ,8983.66 
1-Aug-03,9415.82 ,9232.68 
1-Sep-03,9275.06 ,9416.67 
1-Oct-03,9801.12 ,9276.80 
1-Nov-03,9782.46 ,9802.46 
1-Dec-03,10453.92 ,9785.35 
1-Jan-04,10488.07 ,10452.74 
1-Feb-04,10583.92 ,10487.78 
1-Mar-04,10357.70 ,10582.25 
1-Apr-04,10225.57 ,10357.52 
1-May-04,10188.45 ,10227.27 
1-Jun-04,10435.48 ,10187.18 
1-Jul-04,10139.71 ,10434.00 
1-Aug-04,10173.92 ,10138.45 
1-Sep-04,10080.27 ,10170.12 
1-Oct-04,10027.47 ,10082.04 
1-Nov-04,10428.02 ,10028.73 
1-Dec-04,10783.01 ,10425.80 
1-Jan-05,10489.94 ,10783.75 
1-Feb-05,10766.23 ,10489.72 
1-Mar-05,10503.76 ,10769.04 
1-Apr-05,10192.51 ,10504.57 
1-May-05,10467.48 ,10192.00 
1-Jun-05,10274.97 ,10462.86 
1-Jul-05,10640.91 ,10273.59 
1-Aug-05,10481.60 ,10641.78 
1-Sep-05,10568.70 ,10481.44 
1-Oct-05,10440.07 ,10569.50 
1-Nov-05,10805.87 ,10440.07 
1-Dec-05,10717.50 ,10806.03 
1-Jan-06,10864.86 ,10718.30 
1-Feb-06,10993.41 ,10862.14 
1-Mar-06,11109.32 ,10993.25 
1-Apr-06,11367.14 ,11113.00 
1-May-06,11168.31 ,11367.78 
1-Jun-06,11150.22 ,11169.03 
1-Jul-06,11185.68 ,11149.34 
1-Aug-06,11381.15 ,11184.80 
1-Sep-06,11679.07 ,11382.75 
1-Oct-06,12080.73 ,11678.99 
1-Nov-06,12221.93 ,12080.25 
1-Dec-06,12463.15 ,12220.97 
1-Jan-07,12621.69 ,12459.54 
1-Feb-07,12268.63 ,12617.20 
1-Mar-07,12354.35 ,12268.63 
1-Apr-07,13062.91 ,12354.52 
1-May-07,13627.64 ,13062.75 
1-Jun-07,13408.62 ,13628.69 
1-Jul-07,13211.99 ,13409.60 
1-Aug-07,13357.74 ,13211.09 
1-Sep-07,13895.63 ,13358.39 
1-Oct-07,13930.01 ,13895.71 
1-Nov-07,13371.72 ,13924.16 
1-Dec-07,13264.82 ,13368.22 
1-Jan-08,12650.36 ,13261.82 
1-Feb-08,12266.39 ,12638.17 
1-Mar-08,12262.89 ,12264.36 
1-Apr-08,12820.13 ,12266.64 
1-May-08,12638.32 ,12818.34 
1-Jun-08,11350.01 ,12637.67 
1-Jul-08,11378.02 ,11344.64 
1-Aug-08,11543.96 ,11379.89 
1-Sep-08,10850.66 ,11545.63 
1-Oct-08,9325.01 ,10847.40 
1-Nov-08,8829.04 ,9326.04 
1-Dec-08,8776.39 ,8826.89 
1-Jan-09,8000.86 ,8772.25 
1-Feb-09,7062.93 ,8000.62 
1-Mar-09,7608.92 ,7056.48 
1-Apr-09,8168.12 ,7606.13 
1-May-09,8500.33 ,8167.41 
1-Jun-09,8447.00 ,8501.53 
1-Jul-09,9171.61 ,8447.53 
1-Aug-09,9496.28 ,9173.65 
1-Sep-09,9712.28 ,9492.32 
1-Oct-09,9712.73 ,9711.60 
1-Nov-09,10344.84 ,9712.13 
1-Dec-09,10428.05 ,10343.82 
1-Jan-10,10067.33 ,10430.69 
1-Feb-10,10325.26 ,10068.99 
1-Mar-10,10856.63 ,10326.10 
1-Apr-10,11008.61 ,10857.31 
1-May-10,10136.63 ,11009.60 
1-Jun-10,9774.02 ,10133.94 
1-Jul-10,10465.94 ,9773.27 
1-Aug-10,10014.72 ,10468.82 
1-Sep-10,10788.05 ,10016.01 
1-Oct-10,11118.49 ,10789.72 
1-Nov-10,11006.02 ,11120.30 
1-Dec-10,11577.51 ,11007.23 
1-Jan-11,11891.93 ,11577.43 
1-Feb-11,12226.34 ,11892.50 
1-Mar-11,12319.73 ,12226.49 
1-Apr-11,12810.54 ,12321.02 
1-May-11,12569.79 ,12810.16 
1-Jun-11,12414.34 ,12569.41 
1-Jul-11,12143.24 ,12414.34 
1-Aug-11,11613.53 ,12144.22 
1-Sep-11,10913.38 ,11613.30 
1-Oct-11,11955.01 ,10912.10 
1-Nov-11,12045.68 ,11951.53 
1-Dec-11,12217.56 ,12046.21 
1-Jan-12,12632.91 ,12221.19 
1-Feb-12,12952.07 ,12632.76 
1-Mar-12,13212.04 ,12952.29 
1-Apr-12,13213.63 ,13211.36 
1-May-12,12393.45 ,13214.16 
1-Jun-12,12880.09 ,12391.56 
1-Jul-12,13008.68 ,12879.71 
1-Aug-12,13090.84 ,13007.47 
1-Sep-12,13437.13 ,13092.15 
1-Oct-12,13096.46 ,13437.66 
1-Nov-12,13025.58 ,13099.19 
1-Dec-12,13104.14 ,13027.73 
1-Jan-13,13860.58 ,13104.30 
1-Feb-13,14054.49 ,13860.58 
1-Mar-13,14578.54 ,14054.49 
1-Apr-13,14839.80 ,14578.54 
1-May-13,15115.57 ,14839.80 
1-Jun-13,14909.60 ,15123.55 
1-Jul-13,15499.54 ,14911.60 
1-Aug-13,14810.31 ,15503.85 
1-Sep-13,15129.67 ,14801.55 
1-Oct-13,15545.75 ,15132.49 
1-Nov-13,16086.41 ,15558.01 
1-Dec-13,16576.66 ,16087.12 
1-Jan-14,15698.85 ,16572.17 
1-Feb-14,16321.71 ,15697.69 
1-Mar-14,16457.66 ,16321.71 
1-Apr-14,16580.84 ,16458.05 
1-May-14,16717.17 ,16580.26 
1-Jun-14,16826.60 ,16716.85 
1-Jul-14,16563.30 ,16828.53 
1-Aug-14,17098.45 ,16561.70 
1-Sep-14,17042.90 ,17097.42 
1-Oct-14,17390.52 ,17040.46 
1-Nov-14,17828.24 ,17390.90 
1-Dec-14,17823.07 ,17827.27 
1-Jan-15,17164.95 ,17823.07 
1-Feb-15,18132.70 ,17169.99 
1-Mar-15,17776.12 ,18134.05 
1-Apr-15,17840.52 ,17778.52 
1-May-15,18010.68 ,17859.27 
1-Jun-15,17619.51 ,18017.82 
1-Jul-15,17689.86 ,17638.12 
1-Aug-15,16528.03 ,17696.74 
1-Sep-15,16284.70 ,16528.03 
1-Oct-15,17663.54 ,16278.62 
1-Nov-15,17719.92 ,17672.62 
1-Dec-15,17425.03 ,17719.72 
1-Jan-16,16466.30 ,17405.48 
1-Feb-16,16516.50 ,16453.63 
1-Mar-16,17685.09 ,16545.67 
1-Apr-16,17773.64 ,17661.74 
1-May-16,17787.20 ,17783.78 
1-Jun-16,17929.99 ,17754.55 
1-Jul-16,18432.24 ,17924.24 
1-Aug-16,18400.88 ,18434.50 
1-Sep-16,18308.15 ,18396.57 
1-Oct-16,18142.42 ,18279.60 
1-Nov-16,19123.58 ,18158.24 
1-Dec-16,19762.60 ,19149.20 
1-Jan-17,19864.09 ,19872.86 
1-Feb-17,20812.24 ,19923.81 
1-Mar-17,20663.22 ,20957.29 
1-Apr-17,20940.51 ,20665.17 
1-May-17,21008.65 ,20962.73 
1-Jun-17,21349.63 ,21030.55 
1-Jul-17,21891.12 ,21392.30 
1-Aug-17,21948.10 ,21961.42 
1-Sep-17,22405.09 ,21981.77 
1-Oct-17,23377.24 ,22423.47 
1-Nov-17,24272.35 ,23442.90 
1-Dec-17,24719.22 ,24305.40 
1-Jan-18,26149.39 ,24809.35 
1-Feb-18,25029.20 ,26083.04 
1-Mar-18,24103.11 ,25024.04 
1-Apr-18,24163.15 ,24076.60 
1-May-18,24415.84 ,24117.29 
1-Jun-18,24271.41 ,24542.09 
1-Jul-18,25415.19 ,24161.53 
1-Aug-18,25964.82 ,25461.63 
1-Sep-18,26458.31 ,25916.07 
1-Oct-18,25115.76 ,26598.36 
1-Nov-18,25538.46 ,25142.08 
1-Dec-18,23327.46 ,25779.57 
1-Jan-19,24999.67 ,23058.61 
1-Feb-19,25916.00 ,25025.31 
1-Mar-19,25928.68 ,26019.67 
1-Apr-19,26592.91 ,26075.10 
1-May-19,24815.04 ,26639.06 
1-Jun-19,26599.96 ,24830.16 
1-Jul-19,26864.27 ,26805.86 
1-Aug-19,26403.28 ,26879.86 
1-Sep-19,26916.83 ,26198.26 
1-Oct-19,27046.23 ,26962.54 
1-Nov-19,28051.41 ,27142.95 
1-Dec-19,28538.44 ,28109.74 
1-Jan-20,28256.03 ,28638.97 
1-Feb-20,25409.36 ,28319.65 
1-Mar-20,21917.16 ,25590.51 
1-Apr-20,24345.72 ,21227.38 
1-May-20,25383.11 ,24120.78 
1-Jun-20,25812.88 ,25342.99 
1-Jul-20,26428.32 ,25879.38 
1-Aug-20,27844.91 ,26542.32 
